Supervisor,Capacity,Projects
Supervisor 0,1,0
Supervisor 1,1,1
Supervisor 2,1,2
Supervisor 3,1,3
Supervisor 4,1,4
Supervisor 5,1,5
Supervisor 6,1,6
Supervisor 7,1,7
Supervisor 8,1,8
Supervisor 9,1,9
Supervisor 10,1,10
Supervisor 11,1,11
Supervisor 12,1,12
Supervisor 13,1,13
Supervisor 14,1,14
Supervisor 15,1,15
Supervisor 16,1,16
Supervisor 17,1,17
Supervisor 18,1,18
Supervisor 19,1,19
Supervisor 20,1,20
Supervisor 21,1,21
Supervisor 22,1,22
Supervisor 23,1,23
Supervisor 24,1,24
Supervisor 25,1,25
Supervisor 26,1,26
Supervisor 27,1,27
Supervisor 28,1,28
Supervisor 29,1,29
Supervisor 30,1,30
Supervisor 31,1,31
Supervisor 32,1,32
Supervisor 33,1,33
Supervisor 34,1,34
Supervisor 35,1,35
Supervisor 36,1,36
Supervisor 37,1,37
Supervisor 38,1,38
Supervisor 39,1,39
Supervisor 40,1,40
Supervisor 41,1,41
Supervisor 42,1,42
Supervisor 43,1,43
Supervisor 44,1,44
Supervisor 45,1,45
Supervisor 46,1,46
Supervisor 47,1,47
Supervisor 48,1,48
Supervisor 49,1,49
Supervisor 50,1,50
Supervisor 51,1,51
Supervisor 52,1,52
Supervisor 53,1,53
Supervisor 54,1,54
Supervisor 55,1,55
