file;file_number;last_modif;modification_type;numAlt;numVot;numUniq;isApproval;isStrict;isComplete;hasCondorcet;isSP;isSC;isSPTree
00061-00000001.cat;1;2024-11-15 12:55:38.654384;original;1773;8375;6293;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000002.cat;2;2024-11-15 12:55:38.654384;original;1724;8319;6227;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000003.cat;3;2024-11-15 12:55:38.658384;original;1709;8283;6182;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000004.cat;4;2024-11-15 12:55:38.662385;original;1709;8289;6183;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000005.cat;5;2024-11-15 12:55:38.670384;original;1702;8280;6174;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000006.cat;6;2024-11-15 12:55:38.674385;original;1698;8274;6173;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000007.cat;7;2024-11-15 12:55:38.678385;original;1745;8337;6237;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000008.cat;8;2024-11-15 12:55:38.682384;original;1720;8295;6190;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000009.cat;9;2024-11-15 12:55:38.686384;original;1700;8267;6161;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000010.cat;10;2024-11-15 12:55:38.686384;original;1700;8266;6163;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000011.cat;11;2024-11-15 12:55:38.690385;original;1698;8260;6154;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000012.cat;12;2024-11-15 12:55:38.694385;original;1706;8271;6162;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000013.cat;13;2024-11-15 12:55:38.698385;original;1752;8343;6249;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000014.cat;14;2024-11-15 12:55:38.702385;original;1752;8342;6248;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000015.cat;15;2024-11-15 12:55:38.706385;original;1753;8342;6249;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000016.cat;16;2024-11-15 12:55:38.710385;original;1754;8345;6251;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000017.cat;17;2024-11-15 12:55:38.710385;original;1753;8344;6255;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000018.cat;18;2024-11-15 12:55:38.714385;original;1758;8348;6258;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000019.cat;19;2024-11-15 12:55:38.718385;original;1758;8347;6257;True;N/A;False;N/A;N/A;N/A;N/A
00061-00000020.cat;20;2024-11-15 12:55:38.722385;original;1757;8341;6254;True;N/A;False;N/A;N/A;N/A;N/A
