Supervisor,Capacity,Projects
Supervisor 0,1,46
Supervisor 1,3,5 6 7
Supervisor 2,3,30 42 43 44
Supervisor 3,3,9 10 11
Supervisor 4,3,25 26 27 28 29
Supervisor 5,0,23
Supervisor 6,1,31
Supervisor 7,3,19
Supervisor 8,3,58 59 60
Supervisor 9,1,35 36 37
Supervisor 10,2,33 34
Supervisor 11,3,0 1
Supervisor 12,1,21
Supervisor 13,3,40 41
Supervisor 14,3,24 32
Supervisor 15,3,2
Supervisor 16,3,47 48 49
Supervisor 17,1,12 13 14
Supervisor 18,1,38
Supervisor 19,3,3 4
Supervisor 20,3,8
Supervisor 21,3,50 51
Supervisor 22,2,45 57
Supervisor 23,1,62
Supervisor 24,3,20 22
Supervisor 25,3,52 54 56
Supervisor 26,2,53 55
Supervisor 27,2,39 61
Supervisor 28,3,15 16 17 18
