Supervisor,Capacity,Projects
Supervisor 0,1,131
Supervisor 1,3,22 23 24 25
Supervisor 2,3,38 39 43 44 45 46 47
Supervisor 3,3,64 65 97 132
Supervisor 4,3,8 9
Supervisor 5,1,16 19 20
Supervisor 6,1,51 52 53
Supervisor 7,2,89 90 91 92 93
Supervisor 8,2,0 1 2
Supervisor 9,3,108 109 112 113 119 123 124
Supervisor 10,3,94 95 96
Supervisor 11,3,7 17 18
Supervisor 12,1,55 56 57 98 99
Supervisor 13,3,35 36 40 49
Supervisor 14,1,78 81 82 83 101
Supervisor 15,2,59 60 61 62
Supervisor 16,3,74 75 76 77
Supervisor 17,2,71 72
Supervisor 18,3,100 102 103 104 105 106 107
Supervisor 19,1,32 33 34 63 126
Supervisor 20,2,37 117 118
Supervisor 21,2,10 14 15
Supervisor 22,2,21 28 29 30 31 79
Supervisor 23,1,3 4 5 6
Supervisor 24,1,66 67 68 69 70
Supervisor 25,0,41 42 122 130
Supervisor 26,2,26 27 73
Supervisor 27,0,54 80
Supervisor 28,1,11 12 13 58 116 127 128 129
Supervisor 29,2,120 121
Supervisor 30,2,84 85 86 87 88
Supervisor 31,2,110 111
Supervisor 32,2,114 115
Supervisor 33,0,48 50 125
