Supervisor,Capacity,Projects
Supervisor 0,1,142
Supervisor 1,3,48 49 83 96 97 98
Supervisor 2,3,112 121 122 123 124 126 128 152
Supervisor 3,3,131 132 133 134 135 136
Supervisor 4,3,0 9 10 11 21 35
Supervisor 5,1,40 41
Supervisor 6,1,57
Supervisor 7,2,99 100 101 102
Supervisor 8,2,4 5 6 7 8
Supervisor 9,3,16 153
Supervisor 10,3,85 87 139
Supervisor 11,3,109 125 127
Supervisor 12,3,62 63 74 75
Supervisor 13,1,26
Supervisor 14,3,107
Supervisor 15,1,88 89
Supervisor 16,2,20 22 27 28 82
Supervisor 17,3,113 114 115 116 117
Supervisor 18,2,93 94
Supervisor 19,3,84 86 137 138 154
Supervisor 20,1,24 51 56
Supervisor 21,2,52 53 60 61
Supervisor 22,0,118 119 120 130
Supervisor 23,2,54 55 65 66
Supervisor 24,2,42 43 44 45 46 47
Supervisor 25,3,129
Supervisor 26,1,1 2 3 64
Supervisor 27,1,12 13 14 15 36 37 38
Supervisor 28,0,90 91 92 145
Supervisor 29,2,17 18 19 23 25 50 69
Supervisor 30,0,39 58 59 73
Supervisor 31,1,67 68 70 71 72
Supervisor 32,3,143 144 146 147 148 149 150 151
Supervisor 33,3,108
Supervisor 34,2,76 77 78
Supervisor 35,2,29 30 31 32 33 34
Supervisor 36,2,140 141
Supervisor 37,2,110 111
Supervisor 38,0,79 80 81 95 106
Supervisor 39,2,103 104 105
