15
1,Dean Clark 
2,Debra Walker 
3,James Keys 
4,Jane Kim 
5,H. Brown 
6,George Vazhappally 
7,Theresa Sparks 
8,Fortunate ''Nate'' Payne 
9,Elaine Zamora 
10,Jim Meko 
11,Matt Ashe 
12,Matt Drake 
13,George Davis 
14,Glendon ''Anna Conda'' Hyde 
15,Write-In 
21443,21443,1999
1324,4
890,2,4,14
799,2
687,7
658,4,4,4
619,2,2,2
382,7,7,7
353,4,2,7
347,2,4,7
292,4,14,2
280,2,4
263,4,2
241,4,2,14
222,4,7,2
217,2,7,4
205,7,4,2
195,7,2,4
192,4,7,9
184,7,4
178,4,7
152,2,4,3
130,{1,2},{1,2},{1,2}
124,4,2,3
117,4,2,9
113,3,3,3
112,3,4,2
111,2,7
108,12
105,7,2
104,2,14,4
102,2,4,9
96,4,2,1
95,14,2,4
94,4,7,3
91,2,7,14
89,12,12,12
88,3
86,2,3,4
84,9,9,9
81,1,1,1
81,7,4,12
80,4,7,14
78,4,2,10
77,9
77,7,12
73,4,9,7
73,2,4,10
66,2,7,9
64,4,3,2
64,3,2,4
61,7,12,4
61,2,4,1
60,14,4,2
58,{1,2}
57,4,9,2
57,4,3,7
56,14
54,2,7,3
54,7,4,9
51,1
51,4,2,12
50,4,14
50,2,9,4
49,2,3,7
49,7,4,14
48,2,3,14
48,7,4,10
48,14,14,14
47,4,9
45,7,2,14
45,10,10,10
45,1,2,3
44,7,12,10
44,7,4,3
43,4,7,12
41,4,4
41,4,9,12
40,2,1,4
40,2,7,1
40,7,9,4
39,2,14,7
39,7,2,3
39,12,7
39,4,14,7
39,4,2,4
39,4,7,10
38,4,7,1
38,2,7,10
38,2,14
37,7,2,10
37,4,10,2
36,7,10,4
36,2,9,7
35,7,2,9
35,4,12,9
35,4,12,7
35,2,10,4
34,7,3,4
34,12,7,4
34,4,12,2
34,3,4,7
33,4,12,1
32,2,14,3
32,3,2,7
32,10
32,2,2
32,2,4,12
31,4,7,5
31,4,1,5
31,4,5,7
31,4,5,1
31,4,9,3
31,7,4,1
31,7,14,2
30,12,4
30,14,2,7
29,4,1,9
29,2,4,2
29,2,7,11
28,14,7,2
28,4,1,2
28,7,2,1
28,7,12,2
28,4,12
28,4,3,14
28,1,2,4
27,9,4,2
27,4,1,7
27,4,3,9
27,7,14
26,7,2,12
