11
1,Don Perata 
2,Terence Candell 
3,Greg Harland 
4,Don Macleay 
5,Jean Quan 
6,Arnold Fields 
7,Joe Tuman 
8,Marcie Hodge 
9,Larry Lionel ''Ll'' Young Jr. 
10,Rebecca Kaplan 
11,Write-In 
119962,119962,1468
5005,1
4931,1,5,10
4674,10,5,7
4329,5,10,7
3404,1,10,5
3320,10,7,5
3120,1,1,1
2857,10,5,1
2492,5,10,1
2449,5
2431,5,1,10
2378,7,10,5
2069,10,5
2022,5,7,10
1807,5,10
1791,10,1,5
1762,1,5,7
1696,1,7,10
1522,1,10,7
1464,1,7,5
1447,7,5,10
1404,1,5
1392,1,5,8
1256,5,5,5
1208,10
1196,5,10,8
1047,7
976,7,10,1
976,5,1
963,1,10
935,1,7
917,7,1,10
904,5,1,7
840,10,7,1
818,7,1,5
810,10,5,8
724,1,10,8
691,10,1,7
679,4,5,10
663,7,5,1
640,1,5,2
639,5,1,8
620,10,10,10
609,5,7,1
595,1,8,10
594,1,8,5
550,10,1
542,5,10,4
525,5,8,10
493,7,10
477,7,1
468,10,5,4
430,10,7
428,1,7,8
424,1,5,9
397,5,10,2
393,1,2,5
392,5,7
382,1,10,2
346,7,5
343,7,7,7
326,10,5,2
320,10,8,5
307,1,7,3
304,5,1,2
299,5,8,1
290,10,1,8
280,1,10,9
274,5,4,10
272,5,7,8
261,10,5,9
261,1,2,10
260,1,8,9
248,10,7,8
245,2,2,2
239,4,10,5
238,8,8,8
238,5,10,9
238,1,7,2
226,1,8,2
221,1,2,8
220,1,1
211,1,8,7
211,1,5,3
206,7,10,8
203,8,1,5
200,10,4,5
191,8
190,5,1,9
190,8,5,1
185,5,10,6
174,7,10,3
173,1,7,6
170,10,1,2
168,1,9,10
168,10,8,1
166,1,5,6
165,1,2,3
161,8,1,10
157,1,8
157,5,8,7
152,2
152,1,5,1
152,10,5,6
146,8,5,10
145,1,10,6
144,10,7,2
144,1,10,3
143,7,1,3
143,7,1,8
141,8,10,5
141,1,10,4
141,10,1,9
139,5,10,3
138,1,11,11
138,7,10,2
137,7,5,8
134,1,5,4
131,2,1,5
131,5,2,1
131,5,2,8
127,5,8,2
127,5,7,3
127,1,7,4
126,5,7,2
126,5,2,10
125,5,1,5
125,1,2,9
125,1,7,9
123,1,2,7
120,10,7,4
115,1,9,5
115,5,1,3
115,7,8,10
114,11,11,11
114,5,5
113,1,5,5
113,5,8
111,1,1,5
110,10,7,9
110,7,10,6
109,1,2
109,1,5,11
108,7,3,1
107,8,10,1
105,5,8,9
104,1,9,8
102,7,1,2
101,1,3,7
100,3
99,2,5,1
99,10,2,5
98,7,5,3
97,7,3,6
95,7,3,10
94,10,5,10
94,10,7,3
93,10,8,2
93,1,3,5
92,10,8,7
92,1,1,10
92,1,10,11
91,7,3,4
90,5,1,4
90,5,1,6
89,2,1,8
87,1,9,2
87,10,7,6
87,7,10,9
87,5,7,4
87,5,9,10
86,1,4,10
86,7,10,4
85,7,5,2
84,{1,2},{1,2},{1,2}
83,1,6,7
81,2,1,10
80,9,9,9
78,10,8,9
78,10,5,3
78,1,10,1
78,5,2,7
76,10,5,11
75,5,5,1
73,1,3,6
73,7,1,6
73,5,7,9
73,10,1,6
72,1,7,11
72,1,6,10
71,7,3,5
71,1,10,10
71,5,2,9
70,5,7,6
69,1,{1,2},{1,2}
69,5,1,1
69,5,10,11
69,10,9,8
68,2,5,10
68,9
67,7,8,1
66,1,8,3
66,5,9,1
66,7,8,2
66,5,6,10
65,5,1,11
65,7,8,5
65,7,3
64,2,8,9
63,6
63,1,9,7
62,10,1,10
62,2,8,5
62,10,2,1
62,10,2,8
62,1,2,6
61,1,4,5
60,8,1,9
60,7,3,2
60,5,10,5
60,10,8
59,5,5,10
59,1,3,10
58,8,1,2
58,5,4,7
58,1,4,7
57,1,3,2
57,5,10,10
57,8,5,2
57,5,6,7
56,5,9,8
56,7,1,4
56,10,9,5
56,10,9,1
56,7,6,3
55,1,6,3
54,1,8,6
53,7,4,10
53,10,4,7
53,5,3,7
53,2,10,5
52,1,5,{1,2}
52,7,1,9
52,8,2,1
52,8,2,9
52,5,11,11
52,10,1,4
51,3,3,3
51,7,5,6
51,7,4,5
51,7,4,3
50,1,3,4
50,4
50,8,2,5
50,10,2,7
50,10,1,3
49,1,9
49,2,8,10
49,7,2,1
49,5,9,2
49,1,3,8
48,2,8,1
48,1,6,2
48,1,6,8
47,1,8,8
47,7,2,3
47,8,9,2
47,7,5,4
47,5,9,7
47,7,8,9
47,8,2,10
47,8,5,9
46,2,5,8
46,1,9,6
46,2,10,1
46,5,3,10
46,1,6,9
46,1,2,4
46,10,10,5
45,5,2
45,10,10,1
44,7,2,8
44,1,6,4
44,5,3,1
44,8,5,7
43,10,1,11
43,1,1,2
43,6,6,6
43,8,10,9
43,8,10,7
43,8,1
43,2,10,8
42,2,9,10
42,4,5,7
42,1,9,4
42,1,6,5
41,1,8,4
41,7,10,7
41,7,6,2
40,10,4,9
39,1,4,8
39,1,7,7
39,5,6,3
38,10,5,5
37,10,10
37,7,2,6
37,8,9,5
37,7,3,8
37,1,4,6
37,8,10
37,5,4
37,8,7,1
36,1,8,1
36,2,1,9
36,1,1,8
36,7,2,10
36,7,2,9
36,7,5,9
36,10,9,2
36,5,2,6
35,9,1,10
35,5,5,7
35,10,2,9
35,7,8,3
35,1,9,3
35,5,{1,2},{1,2}
35,7,8
34,10,8,6
34,1,1,7
34,4,7,5
34,3,1,10
34,8,10,2
34,7,4,6
34,10,9,7
34,7,6,4
34,10,1,1
33,1,3
33,4,10,7
33,4,5
33,10,6,1
33,8,9,10
33,3,7
33,1,7,1
33,1,2,1
33,8,5
32,5,8,4
32,8,1,7
32,11
32,10,6,5
31,1,{1,2},10
31,1,4,3
31,8,7,10
31,7,7
30,9,10,1
30,5,8,6
30,3,6,4
30,7,1,11
30,10,4
30,10,7,11
30,{1,2}
30,7,11,11
30,7,6,1
29,9,1,5
29,8,1,8
29,7,9,10
29,2,1
28,2,7,8
28,10,8,4
28,4,7,10
28,10,11,11
28,9,5,1
28,5,3,6
28,10,2
28,7,2,5
27,2,1,7
27,3,7,1
27,7,1,7
27,7,8,6
27,2,9,8
27,8,7,5
26,2,7,9
26,9,1,8
26,2,10,7
26,7,6,10
26,5,4,2
26,10,6,7
26,7,4,2
26,3,7,10
26,3,5,7
26,1,2,2
26,1,11,5
25,5,5,8
25,9,8,2
25,7,7,10
25,5,4,1
25,1,8,11
25,1,4,2
25,1,4,9
25,7,5,7
25,10,4,1
25,7,4,1
25,7,10,11
25,2,10,9
25,5,6,2
24,4,5,1
24,10,6,9
24,4,4,4
24,5,8,5
24,7,9,8
24,9,5,10
24,5,7,7
24,10,3,5
24,10,2,6
24,5,3,4
23,2,7,5
23,8,1,1
23,3,7,5
23,3,7,4
23,6,5,10
23,5,1,{1,2}
23,1,{1,2},8
23,5,7,5
23,7,8,4
23,10,3,7
23,10,3,1
23,10,7,10
23,7,6,5
23,7,6,8
23,5,2,3
22,9,2,8
22,5,4,8
22,10,4,8
22,7,5,11
22,5,9
22,8,7,2
22,5,6,1
21,2,5,9
21,1,{1,2}
21,10,6,2
21,5,8,8
21,7,9,2
21,7,9,6
21,5,4,6
21,5,8,3
21,1,{1,2},5
21,2,7,10
21,8,8
21,2,9,1
21,5,3,2
21,5,6,8
21,7,6
20,2,1,2
20,10,8,3
20,7,2,4
20,9,10,8
20,5,10,{1,2}
20,3,6,7
20,1,{1,2},1
20,7,6,9
19,2,1,3
19,9,2,10
19,2,6,9
19,10,6,8
19,8,9,1
19,4,10
19,9,8,10
19,3,4,7
19,6,3,2
19,5,2,4
18,7,7,5
18,2,5,7
18,2,7,1
18,6,7
18,8,1,6
18,7,9,1
18,5,4,3
18,2,3,6
18,5,5,2
18,1,3,9
18,2,8,7
18,3,1,5
18,7,4,9
18,3,4,6
18,2,9,6
18,7,4
17,4,1,5
17,8,9,3
17,7,3,9
17,3,6,2
17,3,5
17,5,3
17,5,6
17,10,9,6
17,8,2
17,6,5,1
17,10,9
17,7,2
16,1,6
16,1,4
16,9,2,7
16,7,7,1
16,2,1,6
16,3,2,6
16,9,10,5
16,9,10,2
16,5,9,6
16,10,6,3
16,10,7,7
16,9,5,2
16,7,4,8
16,8,7
16,2,5
16,2,9,7
16,1,7,{1,2}
16,5,3,8
16,1,11
15,9,8,5
15,2,6,7
