6
1,Carol Lee Tolbert 
2,Rebecca Kaplan 
3,Mick Storm 
4,Theresa Anderson 
5,Ignacio De La Fuente 
6,Write-In 
145443,145443,355
11346,2
9046,2,2,2
8158,5,5,5
7407,2,5,1
6443,2,1,4
5616,5
5608,5,2,1
4612,2,1,5
4003,2,5
3241,1,1,1
3025,2,4,1
2947,5,1,2
2919,5,1,4
2737,2,1,3
2712,5,2
2356,1,2,5
2331,1,2,4
2099,2,5,4
1927,5,2,4
1749,5,1,3
1720,2,1
1633,1,5,2
1467,2,5,3
1409,1
1360,2,3,1
1357,5,4,1
1356,1,4,2
1324,4,2,1
1307,5,2,3
1262,1,5,4
1230,1,4,5
1162,4,4,4
1158,1,3,4
1150,2,4,5
1092,1,4,3
1012,2,4,3
982,2,3,4
978,5,3,4
955,4,1,2
950,5,3,1
911,1,2,3
866,5,4,3
791,2,5,2
776,2,3,5
763,2,4
749,5,4,2
702,5,1
674,5,2,5
648,4,1,3
597,4
595,3,4,1
576,1,5,3
559,4,3,1
555,3,1,4
514,4,2
501,5,3,2
492,6,6,6
489,1,3,5
489,2,2,5
486,3,3,3
471,2,1,2
469,1,2
415,1,3,2
401,4,1,5
384,2,5,5
380,2,2
367,2,2,1
343,5,5,2
332,2,3
329,1,5
324,{1,2},{1,2},{1,2}
318,3,2,1
314,4,5,1
308,1,2,1
294,4,2,3
289,4,2,5
284,5,1,5
280,5,2,2
279,3
256,3,1,2
245,3,2,5
245,5,6,6
236,5,5
235,4,3,2
234,1,4
223,2,6,6
222,3,5,1
216,3,1,5
214,3,2,4
213,4,5,2
201,5,3
191,2,5,6
190,2,1,1
186,1,5,1
185,1,2,2
181,5,5,1
176,1,1,2
176,3,4,2
171,2,4,2
165,3,5,2
162,1,4,1
161,3,4,5
151,1,1,5
146,5,1,1
145,2,2,4
143,4,3,5
134,{1,2}
130,1,5,5
122,4,1,4
119,4,1
113,2,2,3
111,4,5,3
110,2,4,4
110,5,2,6
107,5,4
101,4,2,4
100,1,1,4
100,3,5,4
98,5,4,5
98,5,5,4
96,2,1,6
92,6
91,2,3,2
87,1,1
80,4,3
75,1,4,4
70,3,2
68,1,3
66,5,1,6
66,3,5
66,5,3,5
65,1,3,1
