4
1,Al Rose 
2,Carolyn Merrival 
3,Joyce Mcdonald 
4,Write-In 
40031,40031,94
9920,3
4175,1,2,3
3917,3,1,2
3435,3,2,1
2937,1
2856,2,1,3
2442,1,2
1675,2,1
1605,2
1541,1,3,2
971,3,3,3
905,3,1
879,2,3,1
528,1,3
368,3,2
283,1,1,1
192,2,3
187,2,2,2
141,3,4,4
131,1,2,4
89,1,2,1
86,2,1,4
84,3,3
71,1,2,2
65,2,1,2
45,3,1,3
38,3,4
26,1,1,2
25,4
25,2,1,1
24,1,1
23,2,2,1
23,3,1,4
20,3,2,3
18,4,4,4
16,1,3,3
16,3,3,2
15,2,2
14,3,3,1
14,3,4,1
13,1,3,1
12,2,2,3
11,3,2,4
11,3,2,2
11,1,1,3
9,1,3,4
9,2,3,2
9,3,1,1
8,{1,2}
8,4,2,1
7,2,3,3
7,1,{1,2},3
7,3,4,2
6,{1,2},{1,2},{1,2}
5,2,3,4
5,1,4,4
4,2,4,4
4,{1,2},3
4,4,1,2
4,3,4,3
3,3,{1,2},{1,2}
3,{1,2},2,1
3,3,{1,2},2
3,3,1,{1,2}
2,1,4
2,4,1,3
2,{1,2},1
2,1,4,2
2,1,4,3
2,2,{1,2}
2,4,3
2,{1,2},2,3
2,4,3,4
2,{1,2},3,2
1,3,3,{1,2}
1,2,4,3
1,2,4,1
1,2,3,{1,2}
1,4,1,1
1,4,1,4
1,3,{1,2}
1,3,3,4
1,3,2,{1,2}
1,{1,2},1,3
1,{1,2},1,1
1,1,{1,2}
1,2,4
1,4,4
1,3,{1,2},1
1,4,3,1
1,1,{1,2},2
1,{1,2},3,1
1,{1,2},3,3
1,1,2,{1,2}
