5
1,Mike Lonergan 
2,Pat Mccarthy 
3,Calvin Goings 
4,Shawn Bunney 
5,Write-In 
299664,299664,223
39544,4
22575,2,3,1
16823,3,2,1
14850,3
14163,2
11899,2,3
10209,4,1,2
10149,3,2
9924,4,1,3
9311,1
9235,4,1
8461,2,3,4
8234,1,2,3
7050,3,2,4
6491,4,4,4
6433,2,1,3
6293,4,3,2
5541,4,2,3
4890,4,2,1
4818,4,3,1
4678,3,1,2
4644,1,4
4351,1,4,2
4264,1,3,2
4079,1,4,3
3833,3,4,2
3092,1,2,4
2893,3,4,1
2769,1,3,4
2717,2,4,3
2609,2,2,2
2594,2,1,4
2469,2,4,1
2336,3,1,4
2243,4,3
2101,4,2
1635,3,3,3
1576,3,4
1378,1,2
1252,3,1
1227,2,4
1168,2,1
1094,1,3
930,1,1,1
797,4,4
643,2,3,2
620,4,1,5
545,4,5,5
504,2,2,3
395,3,2,3
384,2,3,3
349,4,4,1
339,4,1,4
325,2,3,5
268,2,2
262,3,2,5
248,3,2,2
229,1,4,5
217,3,3,2
166,5
164,3,3
151,5,5,5
138,1,4,4
133,2,2,1
128,4,1,1
128,{1,2}
117,4,4,3
102,4,4,2
93,1,2,2
93,3,3,1
92,{1,2},{1,2},{1,2}
91,4,5
88,1,1
87,3,1,3
84,2,4,2
81,4,3,4
80,1,3,3
80,2,1,2
77,2,2,4
73,1,4,1
68,4,2,4
60,4,2,2
58,3,3,4
57,2,1,1
55,1,3,1
55,3,5,5
55,1,1,4
51,4,5,1
50,1,2,1
50,3,4,3
49,2,4,4
49,4,{1,2},2
49,1,5,5
49,3,1,1
48,1,1,2
48,2,5,5
47,4,{1,2},{1,2}
45,1,1,3
42,4,3,5
41,4,{1,2},3
41,4,3,3
41,2,{1,2},1
40,3,4,4
39,2,{1,2},{1,2}
38,3,2,{1,2}
35,3,4,5
31,4,2,5
30,2,3,{1,2}
30,2,1,5
25,1,5
25,4,{1,2},1
25,{1,2},2
25,3,{1,2},1
25,4,1,{1,2}
24,1,3,5
24,3,5
23,1,2,5
23,{1,2},3
23,4,{1,2}
23,1,{1,2},{1,2}
22,{1,2},2,3
22,3,1,5
21,3,{1,2},2
20,2,{1,2},3
20,2,5
20,{1,2},3,2
19,3,{1,2},{1,2}
19,4,4,5
18,{1,2},4
18,5,1
18,3,{1,2}
18,5,1,2
18,{1,2},3,1
18,2,{1,2},4
16,2,{1,2}
16,{1,2},2,4
16,{1,2},2,2
15,{1,2},4,2
14,4,5,3
13,2,4,5
13,4,2,{1,2}
12,1,{1,2},3
12,5,4
12,5,4,1
12,4,{1,2},4
12,{1,2},1
12,{1,2},1,3
11,{1,2},{1,2},3
11,{1,2},3,4
10,5,1,3
10,2,{1,2},2
10,3,{1,2},4
10,1,2,{1,2}
9,1,4,{1,2}
9,1,{1,2},4
9,4,{1,2},5
9,{1,2},{1,2}
9,{1,2},{1,2},2
9,5,2,1
9,3,{1,2},3
9,1,5,4
9,3,1,{1,2}
8,{1,2},1,2
8,4,5,2
8,1,3,{1,2}
8,{1,2},4,3
8,{1,2},2,1
8,{1,2},4,4
7,5,2,3
7,4,5,4
7,3,5,2
7,5,3,1
7,{1,2},4,1
7,5,5
7,5,3,2
7,1,5,2
7,1,{1,2},2
7,2,5,3
7,5,4,4
6,2,4,{1,2}
6,4,4,{1,2}
6,3,5,4
6,{1,2},1,1
6,1,{1,2}
6,4,3,{1,2}
5,5,4,5
5,{1,2},3,3
4,{1,2},2,{1,2}
4,5,5,4
4,2,5,1
4,3,5,1
4,{1,2},{1,2},4
4,2,1,{1,2}
4,{1,2},3,{1,2}
4,3,4,{1,2}
4,{1,2},{1,2},1
4,1,5,3
4,1,{1,2},1
3,5,3,5
3,3,3,{1,2}
3,5,4,3
3,{1,2},1,4
3,3,{1,2},5
3,2,2,{1,2}
2,{1,2},5,5
2,2,{1,2},5
2,5,3,4
2,5,2
2,{1,2},1,{1,2}
2,5,2,5
2,3,3,5
2,4,5,{1,2}
2,2,5,4
2,2,2,5
2,5,1,4
1,5,3,3
1,5,3
1,5,4,2
1,5,5,3
1,1,1,5
1,{1,2},5
1,{1,2},{1,2},5
1,2,5,2
