7
1,Stephen H. Cassidy 
2,Joyce Rutledge Starosciak 
3,Anthony B. ''Tony'' Santos 
4,John R. Palau 
5,Sara M. Mestas 
6,Write-In 
7,Lou Filipovich 
22539,22539,289
1393,3
1334,3,2,1
1231,1
1162,1,2,3
996,3,1,2
902,2
825,1,3,2
756,2,1,3
735,1,2,5
733,3,3,3
668,2,3,1
578,3,2,5
540,1,2
440,1,1,1
377,2,1,5
366,1,4,5
363,1,5,4
363,3,1,5
352,1,2,4
342,3,2
312,2,3,5
302,2,2,2
297,1,3,5
280,2,3
277,2,1
276,3,5,2
263,1,3
242,3,2,4
239,1,5,2
215,3,1
207,3,5,1
205,3,1,4
187,2,5,1
178,1,3,4
175,2,1,4
172,2,5,3
152,1,5,3
136,3,5,4
135,2,5,4
129,2,3,4
115,3,4,5
112,3,4,1
110,5
108,1,4,2
107,1,5
97,3,3
92,2,4,5
88,3,4,2
80,5,1,2
78,1,4
75,3,5
75,1,4,3
65,5,2,3
63,5,2,1
62,5,3,2
59,5,5,5
59,2,5
54,4
53,5,4,1
53,5,3,1
52,5,1,3
48,5,1,4
47,2,4,1
46,1,1
46,3,2,3
45,5,2,4
44,4,5,1
42,3,3,1
42,1,6,6
41,3,3,2
40,1,3,1
40,6,6,6
39,3,3,5
38,2,2
34,4,1,5
33,5,4,2
32,1,1,3
31,2,3,2
31,3,1,1
30,1,2,1
30,5,3,4
29,3,1,3
28,4,4,4
28,2,1,2
27,2,4,3
27,5,4,3
27,2,2,3
23,3,6,6
23,{1,2},{1,2},{1,2}
23,3,5,3
22,3,4
22,4,5,3
22,4,3,1
22,4,2,1
21,5,2
20,1,3,3
18,4,5,2
18,2,3,3
18,3,2,2
17,4,3,5
16,3,2,6
16,2,2,1
16,1,5,5
15,3,3,4
15,5,3
14,4,1,3
14,2,4
13,4,1,2
13,2,6,6
13,4,5
13,1,1,5
13,1,1,2
13,1,5,6
12,1,3,6
12,2,2,5
12,3,1,6
12,4,2,3
12,4,2,5
11,5,1
11,1,2,2
11,3,5,6
11,5,4
11,1,2,6
11,4,3,2
11,2,1,1
10,3,5,5
10,1,4,4
10,4,1
10,6
10,2,1,6
9,3,4,3
9,1,1,4
9,2,5,5
8,5,5
8,3,2,{1,2}
8,2,3,6
8,1,4,6
8,{1,2}
8,1,5,1
8,5,3,6
7,1,{1,2},{1,2}
7,1,{1,2},5
7,3,{1,2}
7,5,5,3
7,5,3,3
7,2,5,2
7,3,4,6
6,3,4,4
6,3,6,4
6,2,5,6
6,3,5,{1,2}
6,2,1,{1,2}
6,5,4,6
5,5,3,5
5,2,{1,2},3
5,5,5,2
5,4,3
5,2,2,4
5,3,{1,2},2
5,4,3,3
5,1,{1,2},1
5,3,6,1
5,3,1,{1,2}
4,5,4,5
4,2,{1,2},{1,2}
4,4,1,4
4,5,5,4
4,3,6,2
4,4,5,6
4,2,5,{1,2}
4,2,6,3
4,3,3,6
4,2,6
4,1,4,1
4,3,{1,2},1
4,3,{1,2},3
4,1,6,5
4,5,1,1
4,5,1,5
4,2,3,{1,2}
3,1,6
3,3,3,{1,2}
3,3,6
3,5,5,1
3,4,5,4
3,2,6,4
3,{1,2},{1,2}
3,1,3,{1,2}
3,7,4,1
3,1,{1,2}
3,3,{1,2},5
3,3,{1,2},4
3,1,6,2
3,1,6,3
3,1,6,1
3,4,4,5
3,5,2,6
3,5,4,4
3,2,{1,2},1
2,2,4,2
2,2,4,6
2,2,4,4
2,1,7
2,7,1,5
2,4,6,6
2,7,7,7
2,4,1,1
2,4,1,6
2,2,{1,2},5
2,2,6,1
2,5,2,2
2,2,6,5
2,2,{1,2},2
2,3,{1,2},{1,2}
2,4,4,3
2,1,4,7
2,4,2
2,4,4
2,1,1,6
2,4,4,2
2,6,1,2
2,5,6,4
2,{1,2},2,3
2,5,2,5
2,{1,2},4,5
2,1,6,4
2,5,1,6
2,2,{1,2},4
1,6,3,1
1,6,3,2
1,1,{1,2},4
1,6,3,4
1,6,3,6
1,{1,2},3
1,4,{1,2},1
1,1,4,{1,2}
1,{1,2},4
1,{1,2},{1,2},1
1,{1,2},5,5
1,1,5,{1,2}
1,{1,2},2,{1,2}
1,5,7,1
1,1,1,{1,2}
1,{1,2},{1,2},2
1,4,5,5
1,6,3
1,6,2,5
1,1,7,2
1,1,7,7
1,1,7,5
1,1,7,4
1,{1,2},5,3
1,{1,2},1,6
1,{1,2},1,5
1,{1,2},1,3
1,{1,2},1,2
1,6,4
1,5,{1,2},4
1,6,4,5
1,7
1,{1,2},{1,2},3
1,4,4,1
1,5,{1,2},2
1,7,4,{1,2}
1,3,6,3
1,2,{1,2}
1,5,3,{1,2}
1,6,1,4
1,{1,2},2,4
1,5,6,2
1,5,6,3
1,2,2,6
1,5,6,6
1,5,1,{1,2}
1,6,5,2
1,3,{1,2},6
1,4,3,4
1,1,{1,2},2
1,{1,2},5,2
1,3,4,{1,2}
1,{1,2},{1,2},5
1,6,2,6
1,2,2,{1,2}
1,{1,2},3,4
1,6,6
1,{1,2},3,3
1,1,2,{1,2}
1,4,2,2
1,4,1,{1,2}
